lat,lon,name,type,weight,points_count
55.765182859999996,37.60796514,"Пушкинская, Тверская, Чеховская",priority_zone,40,5
55.768536559999994,37.832725339999996,"Саяны, ТЦ «Ивановское», ТЦ «Кубик»",priority_zone,35,5
55.796204020000005,37.593478520000005,"Детский центр, Мобильный центр, Совёнок-1",priority_zone,35,5
55.56928946666667,37.5775229,"Бульвар Дмитрия Донского, Улица Старокачаловская, Торговый центр ""Круг""",priority_zone,27,3
55.78179386666667,37.70432616666667,"Электрозаводская, Заря, Торговый центр ""Серебряный Дом",priority_zone,24,3
55.7359896,37.46749606666667,"Пионерская, Давыдково, Ковчег",priority_zone,24,3
55.86977816666666,37.66348253333333,"Бабушкинская, Камп, Радужный",priority_zone,24,3
55.677332766666666,37.50601493333334,"Проспект Вернадского, Звёздный, Обувь-Сити",priority_zone,24,3
55.70586446666666,37.766343866666666,"Кузьминки, Дружный, Три кабана",priority_zone,24,3
55.61884146666667,37.508497166666665,"Тёплый Стан, Торгово-развлекательный центр , Торговый комплекс ""Принц плаза",priority_zone,24,3
55.75686620000001,37.62172543333333,"Площадь Революции, Историко-архивный институт РГГ, Факультет истории, политологии",priority_zone,22,3
55.8192565,37.578045800000005,"Депо Молл, Торговый комплекс ""Депо Молл"", Торговый центр ""Тимирязевский""",priority_zone,21,3
55.75224885,37.607830199999995,"Александровский сад, Арбатская",priority_zone,20,2
55.77710165,37.5192133,"Полежаевская, Хорошёвская",priority_zone,20,2
55.7411755,37.6282727,"Новокузнецкая, Третьяковская",priority_zone,20,2
55.65278805,37.5984317,"Каховская, Севастопольская",priority_zone,20,2
55.76346133333334,37.66313003333333,"Государственный университет по, Московский государственный тех, Московский государственный уни",priority_zone,18,3
55.692951550000004,37.727225649999994,"Печатники, Торговый центр ""Астория""",priority_zone,17,2
55.61029935,37.719340700000004,"Домодедовская, Торговый центр ""Домодедовский""",priority_zone,17,2
55.655582100000004,37.5728098,"Зюзино, ХЦ Бухарест",priority_zone,17,2
55.84626435,37.36212555,"Митино, Торговый центр ""Ковчег""",priority_zone,17,2
55.85560275,37.354832349999995,"Пятницкое шоссе, Торговый центр ""Мандарин""",priority_zone,17,2
55.6343943,37.3349824,"Рассказовка, ТЦ «Сказка»",priority_zone,17,2
55.8055488,37.515101349999995,"Сокол, Метромаркет",priority_zone,17,2
55.7182429,37.7829074,"Окская, Торговый центр ""Рязанский""",priority_zone,17,2
55.59476295,37.599857799999995,"Улица Академика Янгеля, Торговый центр ""Сомбреро""",priority_zone,17,2
55.7393329,37.483931850000005,"Филёвский парк, Мини Молл",priority_zone,17,2
55.621929,37.668478050000004,"Царицыно, Царицыно",priority_zone,17,2
55.8089549,37.464578,"Щукинская, Торгово-развлекательный компле",priority_zone,17,2
55.6638722,37.48270505,"Юго-Западная, Торговый центр «Юго-западный»",priority_zone,17,2
